domain,property_key,property_name,kind,units,conditions
semiconductors,breakdown_field,Breakdown field,device,MV/cm,temperature
semiconductors,dielectric_constant,Dielectric constant,electronic,dimensionless,frequency
semiconductors,defect_formation_energy,Defect formation energy,calculation,eV,defect|charge_state|fermi_level
semiconductors,effective_mass,Effective mass,calculation,m_e,carrier|direction
thermoelectrics,seebeck_coefficient,Seebeck coefficient,transport,uV/K,temperature
thermoelectrics,electrical_conductivity,Electrical conductivity,transport,S/m|S/cm,temperature
thermoelectrics,thermal_conductivity,Thermal conductivity,transport,W/m/K,temperature
thermoelectrics,power_factor,Power factor,performance,uW/cm/K2|W/m/K2,temperature
thermoelectrics,zt,Figure of merit zT,performance,dimensionless,temperature
thermoelectrics,carrier_concentration,Carrier concentration,transport,1/cm3,temperature
thermoelectrics,mobility,Carrier mobility,transport,cm2/V/s,temperature
